Datetime,Temp,Depth
2020-07-16 07:00:00,28.555,0.6
2020-07-16 07:00:00,28.555,1
2020-07-16 07:00:00,27.96116667,3
2020-07-16 07:00:00,27.173,5
2020-07-16 07:00:00,27.026,7.5
2020-07-16 08:00:00,28.555,0.1
2020-07-16 08:00:00,28.3735,0.2
2020-07-16 08:00:00,28.555,0.4
2020-07-16 08:00:00,28.555,0.6
2020-07-16 08:00:00,28.555,1
2020-07-16 08:00:00,27.961,3
2020-07-16 08:00:00,27.173,5
2020-07-16 08:00:00,27.04233333,7.5
2020-07-16 09:00:00,28.555,0.1
2020-07-16 09:00:00,28.39,0.2
2020-07-16 09:00:00,28.555,0.4
2020-07-16 09:00:00,28.555,0.6
2020-07-16 09:00:00,28.489,1
2020-07-16 09:00:00,27.84583333,3
2020-07-16 09:00:00,27.173,5
2020-07-16 09:00:00,27.075,7.5
2020-07-16 10:00:00,28.555,0.1
2020-07-16 10:00:00,28.4395,0.2
2020-07-16 10:00:00,28.5385,0.4
2020-07-16 10:00:00,28.5055,0.6
2020-07-16 10:00:00,28.456,1
2020-07-16 10:00:00,27.55033333,3
2020-07-16 10:00:00,27.173,5
2020-07-16 10:00:00,27.04233333,7.5
2020-07-16 11:00:00,28.57166667,0.1
2020-07-16 11:00:00,28.39,0.2
2020-07-16 11:00:00,28.4725,0.4
2020-07-16 11:00:00,28.4395,0.6
2020-07-16 11:00:00,28.357,1
2020-07-16 11:00:00,27.616,3
2020-07-16 11:00:00,27.173,5
2020-07-16 11:00:00,27.04233333,7.5
2020-07-16 12:00:00,28.65466667,0.1
2020-07-16 12:00:00,28.47266667,0.2
2020-07-16 12:00:00,28.4725,0.4
2020-07-16 12:00:00,28.3735,0.6
2020-07-16 12:00:00,28.258,1
2020-07-16 12:00:00,27.6815,3
2020-07-16 12:00:00,27.2555,5
2020-07-16 12:00:00,27.00966667,7.5
2020-07-16 13:00:00,28.85366667,0.1
2020-07-16 13:00:00,28.688,0.2
2020-07-16 13:00:00,28.58833333,0.4
2020-07-16 13:00:00,28.456,0.6
2020-07-16 13:00:00,28.258,1
2020-07-16 13:00:00,27.87883333,3
2020-07-16 13:00:00,27.2555,5
2020-07-16 13:00:00,27.026,7.5
2020-07-16 14:00:00,29.18583333,0.1
2020-07-16 14:00:00,28.78733333,0.2
2020-07-16 14:00:00,28.68783333,0.4
2020-07-16 14:00:00,28.55533333,0.6
2020-07-16 14:00:00,28.2415,1
2020-07-16 14:00:00,27.86233333,3
2020-07-16 14:00:00,27.173,5
2020-07-16 14:00:00,26.977,7.5
2020-07-16 15:00:00,29.786,0.1
2020-07-16 15:00:00,29.136,0.2
2020-07-16 15:00:00,28.721,0.4
2020-07-16 15:00:00,28.5055,0.6
2020-07-16 15:00:00,28.1755,1
2020-07-16 15:00:00,27.7475,3
2020-07-16 15:00:00,27.173,5
2020-07-16 15:00:00,27.075,7.5
2020-07-16 16:00:00,28.28791667,0.1
2020-07-16 16:00:00,29.419,0.2
2020-07-16 16:00:00,28.80366667,0.4
2020-07-16 16:00:00,28.55516667,0.6
2020-07-16 16:00:00,28.192,1
2020-07-16 16:00:00,27.698,3
2020-07-16 16:00:00,27.1895,5
2020-07-16 16:00:00,27.075,7.5
2020-07-16 17:00:00,27.97105556,0.1
2020-07-16 17:00:00,28.68661111,0.2
2020-07-16 17:00:00,29.40216667,0.4
2020-07-16 17:00:00,28.62166667,0.6
2020-07-16 17:00:00,28.2415,1
2020-07-16 17:00:00,27.79666667,3
2020-07-16 17:00:00,27.33716667,5
2020-07-16 17:00:00,27.15683333,7.5
2020-07-16 18:00:00,29.70266667,0.1
2020-07-16 18:00:00,29.50233333,0.2
2020-07-16 18:00:00,29.452,0.4
2020-07-16 18:00:00,29.119,0.6
2020-07-16 18:00:00,28.291,1
2020-07-16 18:00:00,27.764,3
2020-07-16 18:00:00,27.468,5
2020-07-16 18:00:00,27.2555,7.5
2020-07-16 19:00:00,28.96966667,0.1
2020-07-16 19:00:00,28.80366667,0.2
2020-07-16 19:00:00,28.91983333,0.4
2020-07-16 19:00:00,28.8865,0.6
2020-07-16 19:00:00,28.53866667,1
2020-07-16 19:00:00,27.78016667,3
2020-07-16 19:00:00,27.468,5
2020-07-16 19:00:00,27.206,7.5
2020-07-16 20:00:00,28.605,0.1
2020-07-16 20:00:00,28.423,0.2
2020-07-16 20:00:00,28.605,0.4
2020-07-16 20:00:00,28.5885,0.6
2020-07-16 20:00:00,28.2745,1
2020-07-16 20:00:00,27.616,3
2020-07-16 20:00:00,27.40266667,5
2020-07-16 20:00:00,27.206,7.5
2020-07-16 21:00:00,28.1755,0.1
2020-07-16 21:00:00,28.0765,0.2
2020-07-16 21:00:00,28.225,0.4
2020-07-16 21:00:00,28.2415,0.6
2020-07-16 21:00:00,28.126,1
2020-07-16 21:00:00,27.567,3
2020-07-16 21:00:00,27.35366667,5
2020-07-16 21:00:00,27.2555,7.5
2020-07-16 22:00:00,28.0105,0.1
2020-07-16 22:00:00,27.8785,0.2
2020-07-16 22:00:00,28.0435,0.4
2020-07-16 22:00:00,28.0765,0.6
2020-07-16 22:00:00,28.027,1
2020-07-16 22:00:00,27.63233333,3
2020-07-16 22:00:00,27.28833333,5
2020-07-16 22:00:00,27.173,7.5
2020-07-16 23:00:00,27.928,0.1
2020-07-16 23:00:00,27.78033333,0.2
2020-07-16 23:00:00,27.961,0.4
2020-07-16 23:00:00,27.961,0.6
2020-07-16 23:00:00,27.961,1
2020-07-16 23:00:00,27.698,3
2020-07-16 23:00:00,27.272,5
2020-07-16 23:00:00,27.15666667,7.5
2020-07-17 00:00:00,27.8785,0.1
2020-07-17 00:00:00,27.764,0.2
2020-07-17 00:00:00,27.961,0.4
2020-07-17 00:00:00,27.961,0.6
2020-07-17 00:00:00,27.961,1
2020-07-17 00:00:00,27.7145,3
2020-07-17 00:00:00,27.272,5
2020-07-17 00:00:00,27.173,7.5
2020-07-17 01:00:00,27.862,0.1
2020-07-17 01:00:00,27.764,0.2
2020-07-17 01:00:00,27.961,0.4
2020-07-17 01:00:00,27.961,0.6
2020-07-17 01:00:00,27.961,1
2020-07-17 01:00:00,27.616,3
2020-07-17 01:00:00,27.206,5
2020-07-17 01:00:00,27.173,7.5
2020-07-17 02:00:00,27.84566667,0.1
2020-07-17 02:00:00,27.7145,0.2
2020-07-17 02:00:00,27.9115,0.4
2020-07-17 02:00:00,27.8785,0.6
2020-07-17 02:00:00,27.8785,1
2020-07-17 02:00:00,27.68166667,3
2020-07-17 02:00:00,27.173,5
2020-07-17 02:00:00,27.173,7.5
2020-07-17 03:00:00,27.78033333,0.1
2020-07-17 03:00:00,27.665,0.2
2020-07-17 03:00:00,27.862,0.4
2020-07-17 03:00:00,27.862,0.6
2020-07-17 03:00:00,27.862,1
2020-07-17 03:00:00,27.764,3
2020-07-17 03:00:00,27.15666667,5
2020-07-17 03:00:00,27.173,7.5
2020-07-17 04:00:00,27.764,0.1
2020-07-17 04:00:00,27.63233333,0.2
2020-07-17 04:00:00,27.82933333,0.4
2020-07-17 04:00:00,27.82933333,0.6
2020-07-17 04:00:00,27.78033333,1
2020-07-17 04:00:00,27.64883333,3
2020-07-17 04:00:00,27.15666667,5
2020-07-17 04:00:00,27.1895,7.5
2020-07-17 05:00:00,27.698,0.1
2020-07-17 05:00:00,27.567,0.2
2020-07-17 05:00:00,27.764,0.4
2020-07-17 05:00:00,27.764,0.6
2020-07-17 05:00:00,27.764,1
2020-07-17 05:00:00,27.58316667,3
2020-07-17 05:00:00,27.09133333,5
2020-07-17 05:00:00,27.1895,7.5
2020-07-17 06:00:00,27.665,0.1
2020-07-17 06:00:00,27.567,0.2
2020-07-17 06:00:00,27.731,0.4
2020-07-17 06:00:00,27.7475,0.6
2020-07-17 06:00:00,27.6815,1
2020-07-17 06:00:00,27.63233333,3
2020-07-17 06:00:00,27.075,5
2020-07-17 06:00:00,27.173,7.5
2020-07-17 07:00:00,27.698,0.1
2020-07-17 07:00:00,27.567,0.2
2020-07-17 07:00:00,27.7475,0.4
2020-07-17 07:00:00,27.731,0.6
2020-07-17 07:00:00,27.6815,1
2020-07-17 07:00:00,27.665,3
2020-07-17 07:00:00,27.075,5
2020-07-17 07:00:00,27.173,7.5
2020-07-17 08:00:00,27.813,0.1
2020-07-17 08:00:00,27.665,0.2
2020-07-17 08:00:00,27.78033333,0.4
2020-07-17 08:00:00,27.764,0.6
2020-07-17 08:00:00,27.764,1
2020-07-17 08:00:00,27.665,3
2020-07-17 08:00:00,27.14033333,5
2020-07-17 08:00:00,27.15666667,7.5
2020-07-17 09:00:00,27.8785,0.1
2020-07-17 09:00:00,27.698,0.2
2020-07-17 09:00:00,27.79666667,0.4
2020-07-17 09:00:00,27.78033333,0.6
2020-07-17 09:00:00,27.764,1
2020-07-17 09:00:00,27.665,3
2020-07-17 09:00:00,27.124,5
2020-07-17 09:00:00,27.075,7.5
2020-07-17 10:00:00,27.9445,0.1
2020-07-17 10:00:00,27.78033333,0.2
2020-07-17 10:00:00,27.862,0.4
2020-07-17 10:00:00,27.862,0.6
2020-07-17 10:00:00,27.764,1
2020-07-17 10:00:00,27.59966667,3
2020-07-17 10:00:00,27.15666667,5
2020-07-17 10:00:00,27.075,7.5
2020-07-17 11:00:00,28.24166667,0.1
2020-07-17 11:00:00,28.0435,0.2
2020-07-17 11:00:00,28.0105,0.4
2020-07-17 11:00:00,27.9115,0.6
2020-07-17 11:00:00,27.79666667,1
2020-07-17 11:00:00,27.616,3
2020-07-17 11:00:00,27.10766667,5
2020-07-17 11:00:00,27.075,7.5
2020-07-17 12:00:00,29.06916667,0.1
2020-07-17 12:00:00,28.83683333,0.2
2020-07-17 12:00:00,28.423,0.4
2020-07-17 12:00:00,28.258,0.6
2020-07-17 12:00:00,27.9775,1
2020-07-17 12:00:00,27.665,3
2020-07-17 12:00:00,27.075,5
2020-07-17 12:00:00,27.075,7.5
2020-07-17 13:00:00,28.35733333,0.1
2020-07-17 13:00:00,28.17566667,0.2
2020-07-17 13:00:00,28.1095,0.4
2020-07-17 13:00:00,28.0765,0.6
2020-07-17 13:00:00,27.9445,1
2020-07-17 13:00:00,27.7145,3
2020-07-17 13:00:00,27.17316667,5
2020-07-17 13:00:00,27.075,7.5
2020-07-17 14:00:00,28.2085,0.1
2020-07-17 14:00:00,28.06,0.2
2020-07-17 14:00:00,28.06,0.4
2020-07-17 14:00:00,27.9775,0.6
2020-07-17 14:00:00,27.862,1
2020-07-17 14:00:00,27.6325,3
2020-07-17 14:00:00,27.124,5
2020-07-17 14:00:00,27.075,7.5
2020-07-17 15:00:00,28.225,0.1
2020-07-17 15:00:00,28.0765,0.2
2020-07-17 15:00:00,28.0765,0.4
2020-07-17 15:00:00,28.0105,0.6
2020-07-17 15:00:00,27.895,1
2020-07-17 15:00:00,27.534,3
2020-07-17 15:00:00,27.075,5
2020-07-17 15:00:00,27.075,7.5
2020-07-17 16:00:00,28.126,0.1
2020-07-17 16:00:00,28.027,0.2
2020-07-17 16:00:00,28.027,0.4
