Date,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2019-01-01 00:00:00,0,271.1799927,-7.811111111,84.07,10.550144,0,0
2019-01-01 01:00:00,0,271.1799927,-8.277777778,81.4,9.566656,0,0
2019-01-01 02:00:00,0,271.1799927,-8.372222222,83.2,9.432544,0,0
2019-01-01 03:00:00,0,272.2799988,-8.761111111,82.26,9.343136,0,0
2019-01-01 04:00:00,0,272.2799988,-8.938888889,82.63,8.761984,0,0
2019-01-01 05:00:00,0,272.2900085,-9.172222222,82.6,8.985504,0,0
2019-01-01 06:00:00,0,276.9100037,-9.327777778,83.17,8.314944,0,0
2019-01-01 07:00:00,0,276.8999939,-9.611111111,81.72,7.59968,0,0
2019-01-01 08:00:00,0,276.8999939,-9.872222222,80.52,6.92912,0,0
2019-01-01 09:00:00,4.2,282.3599854,-9.822222222,80.71,7.867904,0,0
2019-01-01 10:00:00,78,282.3500061,-9.938888889,80.92,7.242048,0,0
2019-01-01 11:00:00,136.6,282.3500061,-9.911111111,79.45,6.25856,0,0
2019-01-01 12:00:00,147.9,286.4200134,-9.661111111,78.31,5.409184,0,0
2019-01-01 13:00:00,128.3,286.4200134,-9.388888889,76.68,4.4704,0,0
2019-01-01 14:00:00,135,286.4100037,-8.961111111,75.38,3.978656,0,0
2019-01-01 15:00:00,101.7,282.8200073,-8.522222222,74.65,4.068064,0,0
2019-01-01 16:00:00,54.1,282.8299866,-8.25,75.75,4.604512,0,0
2019-01-01 17:00:00,6.1,282.8299866,-8.322222222,75.85,3.3528,0,0
2019-01-01 18:00:00,0,280.730011,-8.372222222,75.34,2.950464,0,0
2019-01-01 19:00:00,0,280.730011,-8.272222222,76.08,2.369312,0,0
2019-01-01 20:00:00,0,280.730011,-8.3,74.7,1.1176,0,0
2019-01-01 21:00:00,0,282.1799927,-8.211111111,75.12,0.67056,0,0
2019-01-01 22:00:00,0,282.1799927,-8.027777778,76.1,1.072896,0,0
2019-01-01 23:00:00,0,282.1799927,-7.7,77.65,2.503424,0,0
2019-01-02 00:00:00,0,283.269989,-7.522222222,76.66,2.861056,0,0
